zip,num,distance_air,state,international,distance_km,mode,distance_car,portland_native,total_emission_air,total_emission_car,ind_emission_gas,ind_emission_electric,state_emission,state_emission_per_cap,SCC_IWG,SCC_state_emission_per_cap,SCC_state_emission
98166,1,0,WA,no,208.91,Drive,220.03915,Non-Native,0,0.22094974735026604,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98178,1,0,WA,no,214.21,Drive,225.43009,Non-Native,0,0.22636299690599485,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98221,1,0,WA,no,325.05,Drive,335.74908,Non-Native,0,0.33713852466292593,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98225,4,0,WA,no,351.8,Drive,362.51991,Non-Native,0,0.3640201415245477,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98229,2,0,WA,no,347.61,Drive,358.43867,Non-Native,0,0.35992201195589685,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98233,1,0,WA,no,325.37,Drive,336.23082,Non-Native,0,0.3376222582680072,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98236,1,0,WA,no,264.15,Drive,275.09263,Non-Native,0,0.27623105750235905,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98245,2,0,WA,no,348.11,Drive,358.51898,Non-Native,0,0.36000265430617723,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98262,1,0,WA,no,347.68,Drive,358.18154,Non-Native,0,0.35966381786390833,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98296,1,0,WA,no,260.95,Drive,272.16956,Non-Native,0,0.27329589083775807,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98333,1,0,WA,no,185.93,Drive,196.75195000000002,Non-Native,0,0.19756617694247675,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98335,3,0,WA,no,190.37,Drive,201.20337,Non-Native,0,0.20203601844272756,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98368,1,0,WA,no,269.87,Drive,280.40427,Non-Native,0,0.28156467888753334,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98382,1,0,WA,no,272.18,Drive,282.33339,Non-Native,0,0.28350178224667805,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98387,1,0,WA,no,169.83,Drive,181.02121,Non-Native,0,0.18177033775371088,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98404,1,0,WA,no,181.98,Drive,193.11653,Non-Native,0,0.19391571232964713,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98405,1,0,WA,no,186.13,Drive,197.18472,Non-Native,0,0.1980007378929293,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98406,2,0,WA,no,187.12,Drive,198.1148,Non-Native,0,0.19893466688245473,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98407,1,0,WA,no,190.46,Drive,201.44576999999998,Non-Native,0,0.2022794215769321,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98444,1,0,WA,no,175.1,Drive,186.20875,Non-Native,0,0.18697934557058984,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98467,1,0,WA,no,180.38,Drive,191.34658,Non-Native,0,0.19213843767046668,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98498,1,0,WA,no,175.89,Drive,186.80185999999998,Non-Native,0,0.18757491006286728,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98501,2,0,WA,no,159.86,Drive,170.14271,Non-Native,0,0.17084681879560787,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98502,1,0,WA,no,173.68,Drive,183.52888000000002,Non-Native,0,0.18428838535086733,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98584,1,0,WA,no,195.42,Drive,205.37882000000002,Non-Native,0,0.2062287478846186,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98607,2,0,WA,no,19.93,Drive,30.799580000000002,Non-Native,0,0.03092703920867858,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98626,1,0,WA,no,58.51,Drive,69.06900999999999,Non-Native,0,0.06935484121454294,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98629,1,0,WA,no,35.63,Drive,46.784879999999994,Non-Native,0,0.04697849185389288,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98642,1,0,WA,no,25.94,Drive,35.87248,Non-Native,0,0.03602093260598158,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98648,3,0,WA,no,71.09,Drive,81.59017999999999,Non-Native,0,0.08192782810360213,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98661,1,0,WA,no,7.37,Drive,17.799970000000002,Non-Native,0,0.017873632371068128,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98662,2,0,WA,no,12.34,Drive,23.97084,Non-Native,0,0.024070039544206796,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98663,1,0,WA,no,9.51,Drive,18.95868,Non-Native,0,0.019037137509822874,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98665,1,0,WA,no,14.43,Drive,24.501279999999998,Non-Native,0,0.024602674686564303,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
