,,portland_native,airplane_distance,international,pdx_airport,distance_km
685,685,no,,no,PDX,871.75
686,686,no,,no,PDX,875.06
687,687,no,,no,PDX,870.61
688,688,no,,no,PDX,867.27
689,689,no,,no,PDX,872.79
690,690,no,,no,PDX,869.49
691,691,no,,no,PDX,868.36
692,692,no,,no,PDX,866.11
693,693,no,,no,PDX,870.57
694,694,no,,no,PDX,866.15
695,695,no,,no,PDX,873.92
696,696,no,,no,PDX,871.72
697,697,no,,no,PDX,875.02
698,698,no,,no,PDX,866.15
699,699,no,,no,PDX,875.1
700,700,no,,no,PDX,906.88
701,701,no,,no,PDX,905.87
702,702,no,,no,PDX,909.04
703,703,no,,no,PDX,910.28
704,704,no,,no,PDX,891.95
705,705,no,,no,PDX,895.27
706,706,no,,no,PDX,895.33
707,707,no,,no,PDX,894.29
708,708,no,,no,PDX,822.08
709,709,no,,no,PDX,777.01
710,710,no,,no,PDX,858.01
711,711,no,,no,PDX,850.97
712,712,no,,no,PDX,850.42
713,713,no,,no,PDX,866.38
714,714,no,,no,PDX,854.16
715,715,no,,no,PDX,899.06
716,716,no,,no,PDX,881.44
717,717,no,,no,PDX,875.99
718,718,no,,no,PDX,855.82
719,719,no,,no,PDX,914.31
720,720,no,,no,PDX,844.78
721,721,no,,no,PDX,862.49
722,722,no,,no,PDX,788.5
723,723,no,,no,PDX,858.91
724,724,no,,no,PDX,884.84
725,725,no,,no,PDX,876.79
726,726,no,,no,PDX,876.81
727,727,no,,no,PDX,872.29
728,728,no,,no,PDX,890.18
729,729,no,,no,PDX,889.68
730,730,no,,no,PDX,879.06
731,731,no,,no,PDX,857.26
732,732,no,,no,PDX,866.67
733,733,no,,no,PDX,863.16
734,734,no,,no,PDX,865.44
735,735,no,,no,PDX,863.27
736,736,no,,no,PDX,860.99
737,737,no,,no,PDX,859.75
738,738,no,,no,PDX,858.68
739,739,no,,no,PDX,858.74
740,740,no,,no,PDX,859.82
741,741,no,,no,PDX,856.41
742,742,no,,no,PDX,855.32
743,743,no,,no,PDX,855.4
744,744,no,,no,PDX,857.57
745,745,no,,no,PDX,858.59
746,746,no,,no,PDX,849.78
747,747,no,,no,PDX,852.96
748,748,no,,no,PDX,847.17
749,749,no,,no,PDX,841.59
750,750,no,,no,PDX,849.37
751,751,no,,no,PDX,856.1
752,752,no,,no,PDX,806
753,753,no,,no,PDX,843.85
754,754,no,,no,PDX,833.06
755,755,no,,no,PDX,850.5
756,756,no,,no,PDX,854.94
757,757,no,,no,PDX,829.33
758,758,no,,no,PDX,832.68
759,759,no,,no,PDX,821.72
760,760,no,,no,PDX,821.54
761,761,no,,no,PDX,843.8
762,762,no,,no,PDX,842.81
763,763,no,,no,PDX,925.53
764,764,no,,no,PDX,958.83
765,765,no,,no,PDX,922.74
766,766,no,,no,PDX,973.19
767,767,no,,no,PDX,930.81
768,768,no,,no,PDX,933.41
769,769,no,,no,PDX,946.9
770,770,no,,no,PDX,955.99
771,771,no,,no,PDX,959.77
772,772,no,,no,PDX,957.26
773,773,no,,no,PDX,926.16
774,774,no,,no,PDX,953.37
775,775,no,,no,PDX,969.1
776,776,no,,no,PDX,922.06
777,777,no,,no,PDX,938.28
